probe set	gene
33831_at	CREB binding protein (Rubinstein-Taybi syndrome)
33832_at	 Cluster Incl AA448478:zw80d09.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-782513 /clone_end=3'' /gb=AA448478 /gi=2162148 /ug=Hs.236561 /len=491'' 
33833_at	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
33834_at	stromal cell-derived factor 1
33835_at	KIAA0721 protein
33836_at	nuclear pore complex interacting protein
33837_at	signal recognition particle 72kD
33838_at	HLA-B associated transcript-3
33839_at	inositol 1,4,5-triphosphate receptor, type 2
33840_at	tumor protein D52
33841_at	 Cluster Incl R48209:yj63d12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-153431 /clone_end=3'' /gb=R48209 /gi=810235 /ug=Hs.238474 /len=548'' 
33842_at	stomatin-like 2
33843_g_at	stomatin-like 2
33844_at	 Cluster Incl AA160724:zo72h04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-592471 /clone_end=5'' /gb=AA160724 /gi=1736092 /ug=Hs.238519 /len=630'' 
33845_at	Cluster Incl W28483:47e11 Homo sapiens cDNA /gb=W28483 /gi=1308431 /ug=Hs.238542 /len=926
33846_at	 Cluster Incl AA620377:ae57a07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-950964 /clone_end=3'' /gb=AA620377 /gi=2524316 /ug=Hs.238938 /len=493'' 
33847_s_at	 Cluster Incl AI304854:qo19f03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1908989 /clone_end=3'' /gb=AI304854 /gi=3988543 /ug=Hs.238990 /len=625'' 
33848_r_at	 Cluster Incl AI304854:qo19f03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1908989 /clone_end=3'' /gb=AI304854 /gi=3988543 /ug=Hs.238990 /len=625'' 
33849_at	pre-B-cell colony-enhancing factor
33850_at	Cluster Incl W28892:53c11 Homo sapiens cDNA /gb=W28892 /gi=1308840 /ug=Hs.239298 /len=926
33851_at	Cluster Incl W28854:52h3 Homo sapiens cDNA /gb=W28854 /gi=1308820 /ug=Hs.239301 /len=772
33852_at	TIA1 cytotoxic granule-associated RNA-binding protein
33853_s_at	neuropilin 2
33854_at	 Cluster Incl AA877795:nr10g08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1161470 /clone_end=3'' /gb=AA877795 /gi=2986760 /ug=Hs.239519 /len=846'' 
33855_at	growth factor receptor-bound protein 2
33856_at	CAAX box 1
33857_at	 Cluster Incl N25122:yx19d10.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-262195 /clone_end=5'' /gb=N25122 /gi=1139272 /ug=Hs.239538 /len=620'' 
33858_at	Cluster Incl W27993:43e1 Homo sapiens cDNA /gb=W27993 /gi=1308148 /ug=Hs.239538 /len=910
33859_at	sin3-associated polypeptide, 18kD
33860_at	KIAA0462 protein
33861_at	 Cluster Incl AI123426:qa49c09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1690096 /clone_end=3'' /gb=AI123426 /gi=3539192 /ug=Hs.239720 /len=613'' 
33862_at	phosphatidic acid phosphatase type 2B
33863_at	oxygen regulated protein (150kD)
33864_at	adenovirus 5 E1A binding protein
33865_at	 Cluster Incl AA127624:zk89b09.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-489977 /clone_end=5'' /gb=AA127624 /gi=1686977 /ug=Hs.239802 /len=706'' 
33866_at	tropomyosin 4
33867_s_at	RNA binding motif, single stranded interacting protein 1
33868_at	kraken-like
33869_at	Cluster Incl AL080218:Homo sapiens mRNA; cDNA DKFZp586N1323 (from clone DKFZp586N1323) /cds=UNKNOWN /gb=AL080218 /gi=5262709 /ug=Hs.24064 /len=1599
33870_at	putative zinc finger protein
33871_s_at	folate receptor 2 (fetal)
33872_at	latrophilin
33873_at	transcription factor-like 1
33874_at	 Cluster Incl AI318615:tb11g07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2054076 /clone_end=3'' /gb=AI318615 /gi=4034550 /ug=Hs.24322 /len=429'' 
33875_at	 Cluster Incl AI547262:PN001_AH_H03.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI547262 /gi=4464750 /ug=Hs.24322 /len=884'' 
33876_at	DKFZP586I1419 protein
33877_s_at	KIAA1067 protein
33878_at	Cluster Incl W27472:31d4 Homo sapiens cDNA /gb=W27472 /gi=1307276 /ug=Hs.24391 /len=806
33879_at	sigma receptor (SR31747 binding protein 1)
33880_at	fatty-acid-Coenzyme A ligase, long-chain 3
33881_at	 Cluster Incl AA977580:on61b02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1561131 /clone_end=3'' /gb=AA977580 /gi=3155026 /ug=Hs.24550 /len=490'' 
33882_at	KIAA0857 protein
33883_at	signal transduction protein (SH3 containing)
33884_s_at	ubiquitination factor E4B (homologous to yeast UFD2)
33885_at	KIAA0907 protein
33886_at	spectrin SH3 domain binding protein 1
33887_at	hepatocyte growth factor-regulated tyrosine kinase substrate
33888_at	ARP1 (actin-related protein 1, yeast) homolog B (centractin beta)
33889_s_at	DiGeorge syndrome critical region gene 2
33890_at	regulator of G-protein signalling 5
33891_at	Cluster Incl AL080061:Homo sapiens mRNA; cDNA DKFZp564H182 (from clone DKFZp564H182) /cds=UNKNOWN /gb=AL080061 /gi=5262465 /ug=Hs.25035 /len=1898
33892_at	plakophilin 2
33893_r_at	KIAA0470 gene product
33894_at	neuroepithelial cell transforming gene 1
33895_at	hypothetical protein
33896_at	E1A binding protein p300
33897_at	Cluster Incl AF070611:Homo sapiens clones 24718 and 24825 mRNA sequence /cds=UNKNOWN /gb=AF070611 /gi=3387993 /ug=Hs.25300 /len=1856
33898_at	microspherule protein 1
33899_at	aldehyde dehydrogenase 9 (gamma-aminobutyraldehyde dehydrogenase, E3 isozyme)
33900_at	follistatin-like 3 (secreted glycoprotein)
33901_at	solute carrier family 29 (nucleoside transporters), member 1
33902_at	glycerol-3-phosphate dehydrogenase 1 (soluble)
33903_at	death-associated protein kinase 3
33904_at	claudin 3
33905_at	methyl-CpG binding domain protein 2
33906_at	Sjogren's syndrome/scleroderma autoantigen 1
33907_at	eukaryotic translation initiation factor 4 gamma, 3
33908_at	calpain 1, (mu/I) large subunit
33909_at	splicing factor 3b, subunit 4, 49kD
33910_at	Cluster Incl AL049338:Homo sapiens mRNA; cDNA DKFZp564P116 (from clone DKFZp564P116) /cds=UNKNOWN /gb=AL049338 /gi=4500120 /ug=Hs.25832 /len=1466
33911_at	 Cluster Incl AI765053:wh56e11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2384780 /clone_end=3'' /gb=AI765053 /gi=5231562 /ug=Hs.25832 /len=571'' 
33912_at	zinc metalloproteinase, STE24 (yeast, homolog)
33913_at	HLA-B associated transcript-2
33914_r_at	ferrochelatase (protoporphyria)
33915_at	Cluster Incl W22655:71B9 Homo sapiens cDNA /clone=(not-directional) /gb=W22655 /gi=1299488 /ug=Hs.26070 /len=761
33916_at	imidazoline receptor candidate
33917_at	erythrocyte membrane protein band 4.1-like 1
33918_s_at	HIRA-interacting protein 3
33919_at	transmembrane 4 superfamily member 7
33920_at	diaphanous (Drosophila, homolog) 1
33921_at	glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1
33922_at	PR domain containing 2, with ZNF domain
33923_s_at	 Cluster Incl U23736:Human GATA-3 binding protein G3B mRNA, partial cds /cds=(0,1178) /gb=U23736 /gi=915214 /ug=Hs.26719 /len=1382 
33924_at	KIAA1091 protein
33925_at	neurogranin (protein kinase C substrate, RC3)
33926_at	ZAP3 protein
33927_i_at	ZAP3 protein
33928_r_at	ZAP3 protein
33929_at	glypican 1
33930_at	vesicle transport-related protein
33931_at	glutathione peroxidase 4 (phospholipid hydroperoxidase)
33932_at	G1 to S phase transition 1
33933_at	epididymis-specific, whey-acidic protein type, four-disulfide core; putative ovarian carcinoma marker
33934_at	SUMO-1-specific protease
33935_at	calcyclin binding protein
33936_at	galactosylceramidase (Krabbe disease)
34296_at	 Cluster Incl AF041210:Homo sapiens midline 1 fetal kidney isoform 3 (MID1) mRNA, partial cds /cds=(0,1893) /gb=AF041210 /gi=3462510 /ug=Hs.27695 /len=4929 
34297_at	 Cluster Incl U87460:Human putative endothelin receptor type B-like protein mRNA, complete cds /cds=(1778,3619) /gb=U87460 /gi=2076881 /ug=Hs.27747 /len=4138 
34298_at	 Cluster Incl X69532:H.sapiens gene for inter-alpha-trypsin inhibitor heavy chain H1,  exons 1-3 /cds=(39,2774) /gb=X69532 /gi=435656 /ug=Hs.2777 /len=2926 
34299_at	zinc finger protein 278
34300_at	 Cluster Incl AI352450:qt16g11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1947812 /clone_end=3'' /gb=AI352450 /gi=4089656 /ug=Hs.27801 /len=508'' 
34301_r_at	keratin 17
34302_at	eukaryotic translation initiation factor 3, subunit 4 (delta, 44kD)
34303_at	Cluster Incl AL049949:Homo sapiens mRNA; cDNA DKFZp564L0822 (from clone DKFZp564L0822) /cds=UNKNOWN /gb=AL049949 /gi=4884196 /ug=Hs.28264 /len=2738
34304_s_at	 Cluster Incl AL050290:Homo sapiens mRNA; cDNA DKFZp586G1923 (from clone DKFZp586G1923) /cds=(490,780) /gb=AL050290 /gi=4886512 /ug=Hs.28491 /len=1133 
34305_at	 Cluster Incl Z29505:H.sapiens mRNA for nucleic acid binding protein sub2.3 /cds=(85,984) /gb=Z29505 /gi=444020 /ug=Hs.2853 /len=1534 
34306_at	muscleblind (Drosophila)-like
34307_at	transmembrane 9 superfamily member 2
34308_at	H2A histone family, member L
34309_at	carboxypeptidase A1 (pancreatic)
34310_at	adenine phosphoribosyltransferase
34311_at	glutaredoxin (thioltransferase)
34312_at	 Cluster Incl AI040324:oy33a12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1667614 /clone_end=3'' /gb=AI040324 /gi=3279518 /ug=Hs.29131 /len=584'' 
34313_at	nuclear receptor coactivator 2
34314_at	ribonucleotide reductase M1 polypeptide
34315_at	AFG3 (ATPase family gene 3, yeast)-like 2
34316_at	 Cluster Incl W52024:zd13a03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-340492 /clone_end=3'' /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531'' 
34317_g_at	 Cluster Incl W52024:zd13a03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-340492 /clone_end=3'' /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531'' 
34318_at	JM4 protein
34319_at	 Cluster Incl AA131149:zo16d05.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-587049 /clone_end=5'' /gb=AA131149 /gi=1692640 /ug=Hs.2962 /len=464'' 
34320_at	Cluster Incl AL050224:Homo sapiens mRNA; cDNA DKFZp586L2123 (from clone DKFZp586L2123) /cds=UNKNOWN /gb=AL050224 /gi=4884466 /ug=Hs.29759 /len=1250
34321_i_at	predicted osteoblast protein
34322_r_at	predicted osteoblast protein
34323_at	thyroid receptor interacting protein 15
34324_at	ceroid-lipofuscinosis, neuronal 5
34325_at	polyglutamine binding protein 1
34326_at	coatomer protein complex, subunit beta
34327_at	Cluster Incl Z46606:H.sapiens HLTF gene for helicase-like transcription factor /cds=UNKNOWN /gb=Z46606 /gi=575250 /ug=Hs.3068 /len=5439
34328_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3
34329_at	 Cluster Incl N25547:yx76e06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-267682 /clone_end=3'' /gb=N25547 /gi=1139895 /ug=Hs.30692 /len=598'' 
34330_at	cytochrome c oxidase subunit VIIa polypeptide 2 like
34331_at	EphB1
34332_at	glucosamine-6-phosphate isomerase
34333_at	KIAA0668 protein
34334_at	ephrin-B2
34335_at	 Cluster Incl AI765533:wi81c01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2399712 /clone_end=3'' /gb=AI765533 /gi=5232042 /ug=Hs.30942 /len=568'' 
34336_at	lysyl-tRNA synthetase
34337_s_at	putative DNA binding protein
34338_at	 Cluster Incl D49738:Human cytoskeleton associated protein (CG22) mRNA, complete cds /cds=(273,854) /gb=D49738 /gi=736703 /ug=Hs.31053 /len=1015 
34339_at	 Cluster Incl AB009282:Homo sapiens mRNA for cytochrome b5, partial cds /cds=(128,568) /gb=AB009282 /gi=2662290 /ug=Hs.31086 /len=749 
34340_at	 Cluster Incl AA173896:zp03b02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-595275 /clone_end=3'' /gb=AA173896 /gi=1754091 /ug=Hs.31086 /len=530'' 
34341_at	phosphoribosyl pyrophosphate amidotransferase
34342_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
34343_at	steroidogenic acute regulatory protein
34344_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
34345_at	putative mitochondrial outer membrane protein import receptor
34346_at	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
34347_at	DKFZP564J0123 protein
34348_at	serine protease inhibitor, Kunitz type, 2
34349_at	SEC63, endoplasmic reticulum translocon component (S. cerevisiae) like
34350_at	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)
34351_at	phospholipase C, gamma 1 (formerly subtype 148)
34352_at	Cluster Incl AA631698:np79a08.s1 Homo sapiens cDNA /clone=IMAGE-1132502 /gb=AA631698 /gi=2554309 /ug=Hs.3192 /len=640
34353_at	KIAA0648 protein
34354_at	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
34355_at	methyl CpG binding protein 2 (Rett syndrome)
34356_at	SRB7 (suppressor of RNA polymerase B, yeast) homolog
34357_g_at	SRB7 (suppressor of RNA polymerase B, yeast) homolog
34358_at	mitochondrial ribosomal protein L23
34359_at	 Cluster Incl AA524058:ng33b12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-936575 /clone_end=3'' /gb=AA524058 /gi=2264986 /ug=Hs.32826 /len=776'' 
34360_s_at	Cluster Incl W27857:39e2 Homo sapiens cDNA /gb=W27857 /gi=1307868 /ug=Hs.32826 /len=906
34361_at	proprotein convertase subtilisin/kexin type 7
34362_at	solute carrier family 2 (facilitated glucose transporter), member 5
34363_at	selenoprotein P, plasma, 1
34364_at	peptidylprolyl isomerase E (cyclophilin E)
34365_at	peptidylprolyl isomerase E (cyclophilin E)
34366_g_at	peptidylprolyl isomerase E (cyclophilin E)
34367_at	phosphoglycerate dehydrogenase
34368_at	histone deacetylase 2
34369_at	KIAA0214 gene product
34370_at	archain 1
34371_at	 Cluster Incl U79267:Human clone 23840 mRNA, partial cds /cds=(0,521) /gb=U79267 /gi=1710228 /ug=Hs.3382 /len=1516 
34372_at	upstream regulatory element binding protein 1
34373_at	upstream regulatory element binding protein 1
34374_g_at	upstream regulatory element binding protein 1
34375_at	small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)
34376_at	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
34377_at	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide
34378_at	adipose differentiation-related protein
34379_at	era (E. coli G-protein homolog)-like 1
34380_at	stomatin-like 2
34381_at	 Cluster Incl AI708889:as86g01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2335632 /clone_end=3'' /gb=AI708889 /gi=4998665 /ug=Hs.3462 /len=533'' 
34382_at	doublecortex; lissencephaly, X-linked (doublecortin)
34383_at	ubiquitin specific protease 1
34384_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
34385_at	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kD
34386_at	methyl-CpG binding domain protein 4
34387_at	KIAA0205 gene product
34388_at	collagen, type XIV, alpha 1 (undulin)
34389_at	collagen, type XIV, alpha 1 (undulin)
34390_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II
34391_at	immunoglobulin (CD79A) binding protein 1
34392_s_at	RAB1, member RAS oncogene family
34393_r_at	RAB1, member RAS oncogene family
34394_at	activity-dependent neuroprotective protein
34395_at	KIAA0354 gene product
34396_at	KIAA0978 protein
34397_at	acid-inducible phosphoprotein
34398_at	heat shock 105kD
34399_at	 Cluster Incl AI028087:ow51a12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1650334 /clone_end=3'' /gb=AI028087 /gi=3245396 /ug=Hs.37045 /len=780'' 
34400_at	 Cluster Incl AI540957:PEC1.2_15_G03.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI540957 /gi=4458330 /ug=Hs.3709 /len=778'' 
34401_at	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
34402_at	unr-interacting protein
34403_at	milk fat globule-EGF factor 8 protein
34404_at	Cluster Incl W28167:43a1 Homo sapiens cDNA /gb=W28167 /gi=1308115 /ug=Hs.3758 /len=913
34405_at	ubiquitin specific protease 5 (isopeptidase T)
34406_at	KIAA0602 protein
34407_at	retinoic acid receptor responder (tazarotene induced) 2
34408_at	reticulon 2
34409_at	DKFZP564C1940 protein
34410_at	mevalonate (diphospho) decarboxylase
34411_at	 Cluster Incl Y10387:H.sapiens mRNA for PAPS synthetase /cds=(36,1910) /gb=Y10387 /gi=2673861 /ug=Hs.3833 /len=2493 
34412_s_at	peanut (Drosophila)-like 1
34413_at	Cluster Incl AF038203:Homo sapiens clone 23596 mRNA sequence /cds=UNKNOWN /gb=AF038203 /gi=2795924 /ug=Hs.3850 /len=1473
34414_at	KIAA0368 protein
34774_at	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)
34775_at	tetraspan 1
34776_at	Cluster Incl W27541:32c12 Homo sapiens cDNA /gb=W27541 /gi=1307345 /ug=Hs.3903 /len=982
34777_at	adrenomedullin
34778_at	 Cluster Incl AA418080:zv97h07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-767773 /clone_end=3'' /gb=AA418080 /gi=2079881 /ug=Hs.3972 /len=543'' 
34779_at	 Cluster Incl R90942:yp92b03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-194861 /clone_end=5'' /gb=R90942 /gi=958482 /ug=Hs.3972 /len=486'' 
34780_at	plexin B2
34781_at	novel RGD-containing protein
34782_at	jumonji (mouse) homolog
34783_s_at	BUB3 (budding uninhibited by benzimidazoles 3, yeast) homolog
34784_at	hypothetical protein dJ37E16.5
34785_at	KIAA1025 protein
34786_at	KIAA0742 protein
34787_at	nardilysin (N-arginine dibasic convertase)
34788_at	Cluster Incl AL049365:Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618) /cds=UNKNOWN /gb=AL049365 /gi=4500154 /ug=Hs.4105 /len=2544
34789_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
34790_at	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)
34791_at	t-complex 1
34792_at	 Cluster Incl AL049954:Homo sapiens mRNA; cDNA DKFZp564A1523 (from clone DKFZp564A1523) /cds=(0,1795) /gb=AL049954 /gi=4884203 /ug=Hs.4113 /len=2490 
34793_s_at	plastin 3 (T isoform)
34794_r_at	plastin 3 (T isoform)
34795_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2
34796_at	translocating chain-associating membrane protein
34797_at	phosphatidic acid phosphatase type 2A
34798_at	BCL2-associated athanogene
34799_at	hypothetical protein 24636
34800_at	 Cluster Incl AL039458:DKFZp434N0910_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434N0910 /clone_end=3'' /gb=AL039458 /gi=5408506 /ug=Hs.4193 /len=849'' 
34801_at	KIAA0710 gene product
34802_at	collagen, type VI, alpha 2
34803_at	ubiquitin specific protease 12
34804_at	Cluster Incl AL049246:Homo sapiens mRNA; cDNA DKFZp564C053 (from clone DKFZp564C053) /cds=UNKNOWN /gb=AL049246 /gi=4499983 /ug=Hs.42484 /len=3650
34805_at	 Cluster Incl AA195301:zr36g11.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-665540 /clone_end=5'' /gb=AA195301 /gi=1785240 /ug=Hs.4253 /len=569'' 
34806_at	G protein-coupled receptor 44
34807_at	thioredoxin-like
34808_at	KIAA0999 protein
34809_at	 Cluster Incl H53921:yq87g03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-202804 /clone_end=5'' /gb=H53921 /gi=994068 /ug=Hs.4278 /len=625'' 
34810_at	small inducible cytokine subfamily A (Cys-Cys), member 17
34811_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3
34812_at	Cluster Incl W26099:22f11 Homo sapiens cDNA /gb=W26099 /gi=1306645 /ug=Hs.4291 /len=709
34813_at	Cluster Incl AL079283:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 39515 /cds=UNKNOWN /gb=AL079283 /gi=5102744 /ug=Hs.4310 /len=1454
34814_at	 Cluster Incl AL041443:DKFZp434D0717_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434D0717 /clone_end=3'' /gb=AL041443 /gi=5420794 /ug=Hs.4311 /len=615'' 
34815_at	trinucleotide repeat containing 12
34816_at	 Cluster Incl AI143868:qe04e11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1738028 /clone_end=3'' /gb=AI143868 /gi=3665677 /ug=Hs.4316 /len=614'' 
34817_s_at	ataxin 2 related protein
34818_at	ets variant gene 5 (ets-related molecule)
34819_at	CD164 antigen, sialomucin
34820_at	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
34821_at	DKFZP586D0623 protein
34822_at	tumor protein p53-binding protein, 2
34823_at	dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)
34824_at	ubiquilin 2
34825_at	TRAF and TNF receptor-associated protein
34826_at	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
34827_at	unc-51 (C. elegans)-like kinase 1
34828_at	 Cluster Incl AL037557:DKFZp564H2472_r1 Homo sapiens cDNA, 5 end /clone=DKFZp564H2472 /clone_end=5'' /gb=AL037557 /gi=5928180 /ug=Hs.47062 /len=960'' 
34829_at	dyskeratosis congenita 1, dyskerin
34830_at	Cluster Incl W25986:17e7 Homo sapiens cDNA /gb=W25986 /gi=1306253 /ug=Hs.4750 /len=769
34831_at	Cluster Incl AF055004:Homo sapiens clone 24640 mRNA sequence /cds=UNKNOWN /gb=AF055004 /gi=3005724 /ug=Hs.4764 /len=2288
34832_s_at	KIAA0763 gene product
34833_at	DKFZP586O0120 protein
34834_at	KIAA1068 protein
34835_at	nicastrin
34836_at	RAB5C, member RAS oncogene family
34837_at	KIAA0376 protein
34838_at	Cluster Incl AL050130:Homo sapiens mRNA; cDNA DKFZp586H051 (from clone DKFZp586H051) /cds=UNKNOWN /gb=AL050130 /gi=4884337 /ug=Hs.47986 /len=1776
34839_at	KIAA1104 protein
34840_at	 Cluster Incl AI700633:we38g03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2343412 /clone_end=3'' /gb=AI700633 /gi=4988533 /ug=Hs.4815 /len=565'' 
34841_at	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)
34842_at	small nuclear ribonucleoprotein polypeptide N
34843_at	 Cluster Incl AL044599:DKFZp434N192_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434N192 /clone_end=3'' /gb=AL044599 /gi=5432814 /ug=Hs.48450 /len=1067'' 
34844_at	KIAA0222 gene product
34845_at	CGI-51 protein
34846_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta
34847_s_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta
34848_at	farnesyl-diphosphate farnesyltransferase 1
34849_at	seryl-tRNA synthetase
34850_at	ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)
34851_at	serine/threonine kinase 15
34852_g_at	serine/threonine kinase 15
34853_at	fibronectin leucine rich transmembrane protein 2
34854_at	small inducible cytokine subfamily A (Cys-Cys), member 17
34855_at	poly(A) polymerase
34856_at	regulated in glioma
34857_at	Cluster Incl Z24724:H.sapiens polyA site DNA /cds=UNKNOWN /gb=Z24724 /gi=505034 /ug=Hs.4934 /len=1870
34858_at	KIAA0176 protein
34859_at	hepatocellular carcinoma associated protein; breast cancer associated gene 1
34860_g_at	hepatocellular carcinoma associated protein; breast cancer associated gene 1
34861_at	golgi autoantigen, golgin subfamily a, 3
34862_at	 Cluster Incl AA005018:zh96a09.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-429112 /clone_end=5'' /gb=AA005018 /gi=1448859 /ug=Hs.4963 /len=637'' 
34863_s_at	Cluster Incl W29030:55c4 Homo sapiens cDNA /gb=W29030 /gi=1308987 /ug=Hs.4963 /len=758
34864_at	hypothetical protein
34865_at	 Cluster Incl AI360249:qy84f07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2018725 /clone_end=3'' /gb=AI360249 /gi=4111870 /ug=Hs.49767 /len=530'' 
34866_at	Cluster Incl AF055029:Homo sapiens clone 24711 mRNA sequence /cds=UNKNOWN /gb=AF055029 /gi=3005759 /ug=Hs.4988 /len=1816
34867_at	 Cluster Incl AI041520:ov82a04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1643790 /clone_end=3'' /gb=AI041520 /gi=3280714 /ug=Hs.49881 /len=844'' 
34868_at	KIAA1089 protein
34869_at	Z-band alternatively spliced PDZ-motif
34870_at	Z-band alternatively spliced PDZ-motif
34871_at	 Cluster Incl W30677:zb75h10.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-309475 /clone_end=5'' /gb=W30677 /gi=1311730 /ug=Hs.5019 /len=614'' 
34872_at	Cluster Incl W26547:32h10 Homo sapiens cDNA /gb=W26547 /gi=1307390 /ug=Hs.5019 /len=739
34873_at	nebulette
34874_at	neuropathy target esterase
34875_r_at	KIAA0203 gene product
34876_at	carboxypeptidase D
34877_at	 Cluster Incl AL039831:DKFZp434D1112_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434D1112 /clone_end=3'' /gb=AL039831 /gi=5866713 /ug=Hs.50651 /len=579'' 
34878_at	SMC4 (structural maintenance of chromosomes 4, yeast)-like 1
34879_at	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
34880_at	ets variant gene 2
34881_at	(clone PWHLC2-24) myosin light chain 2
34882_at	nucleolar protein (KKE/D repeat)
34883_at	ring finger protein 10
34884_at	carbamoyl-phosphate synthetase 1, mitochondrial
34885_at	synaptogyrin 2
34886_at	radixin
34887_at	 Cluster Incl N92548:zb29g04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-305046 /clone_end=3'' /gb=N92548 /gi=1264857 /ug=Hs.5100 /len=658'' 
34888_at	hexosaminidase B (beta polypeptide)
34889_at	 Cluster Incl AA056747:zk81f02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-489243 /clone_end=3'' /gb=AA056747 /gi=1549122 /ug=Hs.5119 /len=559'' 
34890_at	ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 1
34891_at	 Cluster Incl AI540958:PEC1.2_15_H01.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI540958 /gi=4458331 /ug=Hs.5120 /len=808'' 
34892_at	tumor necrosis factor receptor superfamily, member 10b
34893_at	 Cluster Incl AI557064:PT2.1_13_A12.r Homo sapiens cDNA, 3 end /clone_end=3'' /gb=AI557064 /gi=4489427 /ug=Hs.51299 /len=876'' 
35254_at	FLN29 gene product
35255_at	RAN binding protein 7
35256_at	Cluster Incl AL096737:Homo sapiens mRNA; cDNA DKFZp434F152 (from clone DKFZp434F152) /cds=UNKNOWN /gb=AL096737 /gi=5419869 /ug=Hs.5167 /len=2310
